stage,iteration,temperature,current_cost,new_cost,best_cost,current_distance,best_distance,accepted,reward,rem_idx,ins_idx,noise_idx,q_removed,unassigned,is_unvisited
stage1,17,314.23330912255864,3516.3592242419077,3516.3263977392867,3516.3263977392867,3516.3263977392867,3516.3263977392867,1,8.401829982334108e-06,1,0,1,12,0,1
stage1,18,314.23016678946743,3516.3263977392867,3501.77606540846,3501.77606540846,3501.77606540846,3501.77606540846,1,0.0037241420779832116,2,0,1,7,0,1
stage1,19,314.22702448779955,3501.77606540846,3403.8595683699223,3403.8595683699223,3403.8595683699223,3403.8595683699223,1,0.02516575751522385,2,0,0,12,0,1
stage1,20,314.2238822175547,3403.8595683699223,3398.0746670901854,3398.0746670901854,3398.0746670901854,3398.0746670901854,1,0.0015295610900471215,2,0,0,11,0,1
stage1,21,314.2207399787326,3398.0746670901854,3398.0746670901854,3398.0746670901854,3398.0746670901854,3398.0746670901854,1,0.0,2,0,0,5,0,0
stage1,22,314.2175977713328,3398.0746670901854,3391.104929249578,3391.104929249578,3391.104929249578,3391.104929249578,1,0.0018459759337536635,2,0,0,11,0,1
stage1,23,314.2144555953551,3391.104929249578,3391.104929249578,3391.104929249578,3391.104929249578,3391.104929249578,1,0.0,0,0,0,4,0,0
stage1,24,314.21131345079914,3391.104929249578,3387.097058422803,3387.097058422803,3387.097058422803,3387.097058422803,1,0.001063689805934687,1,0,1,6,0,1
stage1,25,314.2081713376646,3387.097058422803,3386.466571387736,3386.466571387736,3386.466571387736,3386.466571387736,1,0.00016752939811662162,1,0,0,11,0,1
stage1,26,314.2050292559513,3386.466571387736,3393.899254000654,3386.466571387736,3393.899254000654,3386.466571387736,1,-0.001975337482479466,1,0,1,8,0,1
stage1,27,314.20188720565875,3393.899254000654,3386.102323089976,3386.102323089976,3386.102323089976,3386.102323089976,1,0.0020676034538557294,2,0,0,8,0,1
stage1,28,314.1987451867867,3386.102323089976,3386.313428372751,3386.102323089976,3386.313428372751,3386.102323089976,1,-5.6110163358583195e-05,1,0,1,8,0,1
stage1,29,314.19560319933487,3386.313428372751,3404.0526608060313,3386.102323089976,3404.0526608060313,3386.102323089976,1,-0.004714657850683457,2,0,1,9,0,1
stage1,30,314.1924612433029,3404.0526608060313,3404.7203618768754,3386.102323089976,3404.7203618768754,3386.102323089976,1,-0.00017653397982901267,1,0,1,6,0,1
stage1,31,314.1893193186905,3404.7203618768754,3403.5418687455035,3386.102323089976,3403.5418687455035,3386.102323089976,1,0.0003115215657975445,2,0,0,11,0,1
stage1,32,314.1861774254973,3403.5418687455035,3405.641116120641,3386.102323089976,3405.641116120641,3386.102323089976,1,-0.0005551048614895358,0,0,1,8,0,1
stage1,33,314.1830355637231,3405.641116120641,3405.641116120641,3386.102323089976,3405.641116120641,3386.102323089976,1,0.0,0,0,0,6,0,0
stage1,34,314.17989373336746,3405.641116120641,3397.5184025278686,3386.102323089976,3397.5184025278686,3386.102323089976,1,0.002146568585542135,2,0,1,12,0,1
stage1,35,314.1767519344302,3397.5184025278686,3393.0804273163953,3386.102323089976,3393.0804273163953,3386.102323089976,1,0.0011756162048612096,2,0,1,11,0,1
stage1,36,314.17361016691086,3393.0804273163953,3387.3549447675114,3386.102323089976,3387.3549447675114,3386.102323089976,1,0.0015186596381598471,2,0,0,9,0,1
stage1,37,314.1704684308092,3387.3549447675114,3391.3883914304456,3386.102323089976,3391.3883914304456,3386.102323089976,1,-0.001071662714959434,0,0,1,11,0,1
stage1,38,314.1673267261249,3391.3883914304456,3319.7436506673334,3319.7436506673334,3319.7436506673334,3319.7436506673334,1,0.01901294079136833,2,0,1,9,0,1
stage1,39,314.16418505285765,3319.7436506673334,3319.7436506673334,3319.7436506673334,3319.7436506673334,3319.7436506673334,1,0.0,0,0,0,6,0,0
stage1,40,314.16104341100714,3319.7436506673334,3313.361028846128,3313.361028846128,3313.361028846128,3313.361028846128,1,0.001730362414558725,1,0,0,6,0,1
